subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	author_id	reviewer_id	comment
Orphanet:124	skos:broadMatch	biolink:Disease	sio:SIO_000137	Blackfan-Diamond anemia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199315	skos:broadMatch	biolink:Disease	sio:SIO_000137	Familial clubfoot with or without associated lower limb anomalies	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:123	skos:broadMatch	biolink:Disease	sio:SIO_000137	Björnstad syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:126	skos:broadMatch	biolink:Disease	sio:SIO_000137	Blepharophimosis-ptosis-epicanthus inversus syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:209203	skos:broadMatch	biolink:Disease	sio:SIO_000137	Qualitative or quantitative defects of glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase -	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:125	skos:broadMatch	biolink:Disease	sio:SIO_000137	Bloom syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2560	skos:broadMatch	biolink:Disease	sio:SIO_000137	Moebius syndrome-axonal neuropathy-hypogonadotropic hypogonadism syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199318	skos:broadMatch	biolink:Disease	sio:SIO_000137	15q13.3 microdeletion syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:128	skos:broadMatch	biolink:Disease	sio:SIO_000137	Diphyllobothriasis	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:127	skos:broadMatch	biolink:Disease	sio:SIO_000137	Borjeson-Forssman-Lehmann syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:129	skos:broadMatch	biolink:Disease	sio:SIO_000137	Pseudopelade of Brocq	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2565	skos:broadMatch	biolink:Disease	sio:SIO_000137	Mononen-Karnes-Senac syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1232	skos:broadMatch	biolink:Disease	sio:SIO_000137	NON RARE IN EUROPE: Barrett esophagus	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2566	skos:broadMatch	biolink:Disease	sio:SIO_000137	Chronic Epstein-Barr virus infection syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1231	skos:broadMatch	biolink:Disease	sio:SIO_000137	Barber-Say syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
