subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	author_id	reviewer_id	comment
skos:Collection	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	Collection	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:Concept	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	Concept	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:ConceptScheme	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	ConceptScheme	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:OrderedCollection	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	OrderedCollection	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:altLabel	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	altLabel	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:broadMatch	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	broadMatch	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:broader	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	broader	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:broaderTransitive	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	broaderTransitive	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:changeNote	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	changeNote	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:closeMatch	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	closeMatch	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:definition	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	definition	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:editorialNote	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	editorialNote	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:exactMatch	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	exactMatch	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:example	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	example	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:hasTopConcept	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	hasTopConcept	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:hiddenLabel	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	hiddenLabel	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:historyNote	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	historyNote	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:inScheme	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	inScheme	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:mappingRelation	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	mappingRelation	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:member	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	member	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:memberList	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	memberList	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:narrowMatch	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	narrowMatch	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:narrower	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	narrower	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:narrowerTransitive	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	narrowerTransitive	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:notation	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	notation	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:note	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	note	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:prefLabel	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	prefLabel	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:related	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	related	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:relatedMatch	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	relatedMatch	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:scopeNote	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	scopeNote	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:semanticRelation	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	semanticRelation	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
skos:topConceptOf	skos:exactMatch	biolink:NamedThing	sio:SIO_000137	topConceptOf	NamedThing	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	
