ontology	prefix	delimiter	native
ABD	http://brd.bsvgateway.org/api	/	True
ACESO	http://www.semanticweb.org/cbmi/ontologies/2018/10/aceso	#	True
ACGT-MO	http://www.ifomis.org/acgt/1.0	#	True
ADA-AMB	http://mouse.brain-map.org/atlas/index.html	#	True
BTO	BTO	:	True
CHMO	CHMO	:	True
CMO	CMO	:	True
DCM	http://dicom.nema.org/resources/ontology/DCM	/	True
DLO	https://w3id.org/dlo	/	True
DRON	DRON	:	True
DRPSNPTO	http://www.semanticweb.org/zhenyuzhang/ontologies/2020/DRPSNPTO	/	True
DTO	http://www.drugtargetontology.org/dto	/	True
EDAM	http://edamontology.org	/	True
EHDA	EHDA	:	True
FLU	FLU	:	True
FMA	http://purl.org/obo/owlapi/fma	#	False
FMA	http://purl.org/sig/ont/fma	/	True
GAZ	GAZ	:	True
HCPCS	http://purl.bioontology.org/ontology/HCPCS	/	True
ICD10	http://purl.bioontology.org/ontology/ICD10	/	True
ICD10PCS	http://purl.bioontology.org/ontology/ICD10PCS	/	True
ICD10PCS	http://purl.bioontology.org/ontology/ICD10PCS	/	True
KISAO	http://www.biomodels.net/kisao/KISAO	#	True
LOINC	http://purl.bioontology.org/ontology/LNC	/	True
MEDDRA	MEDDRA	:	True
MEDLINEPLUS	http://purl.bioontology.org/ontology/MEDLINEPLUS	/	True
MEDO	http://www.ebi.ac.uk/medo	/	True
MESH	http://purl.bioontology.org/ontology/MESH	/	True
MIXS	http://gensc.org/ns/mixs	/	True
MOC	http://sweet.jpl.nasa.gov/2.3/matrOrganicCompound.owl	#	True
MONO	http://www.owl-ontologies.com/MO.owl	#	True
MP	MP	:	True
NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON	/	True
NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl	#	True
NDDF	http://purl.bioontology.org/ontology/NDDF	/	True
NDFRT	http://purl.bioontology.org/ontology/NDFRT	/	True
OGMS	OGMS	:	True
OGR	http://www.owl-ontologies.com/GeographicalRegion.owl	#	True
OMV	http://omv.ontoware.org/2005/05/ontology	#	True
PGXO	http://pgxo.loria.fr	/	True
PLOSTHES	http://localhost/plosthes.2017-1	#	True
PP	https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PipelinePatterns.owl	#	True
PR	PR	:	True
RADLEX	http://radlex.org/RID	/	True
RCD	http://purl.bioontology.org/ontology/RCD	/	True
RH-MESH	http://phenomebrowser.net/ontologies/mesh/mesh.owl	#	True
RO	http://www.radiomics.org/RO	/	True
RXNORM	RXCUI	:	True
SNMI	http://purl.bioontology.org/ontology/SNMI	/	True
SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT	/	True
STY	http://purl.bioontology.org/ontology/STY	/	True
ZFA	ZFA	:	True
